Severity,Category,File,Line,Issue,Description,Fix
HIGH,Unused Import,src/database.py,3,asynccontextmanager imported but unused,Remove contextlib.asynccontextmanager import,Delete import statement
HIGH,Unused Import,src/services/audit_trail_service.py,7,asdict imported but unused,Remove dataclasses.asdict import,Delete import statement
HIGH,Unused Import,src/services/cot_service.py,6,uuid imported but unused,Remove uuid import,Delete import statement
HIGH,Unused Import,src/services/detection_service.py,4,datetime imported but unused,Remove datetime.datetime import,Delete import statement
HIGH,Unused Import,src/services/geolocation_service.py,21,math functions imported but unused,"Remove math.degrees, math.sqrt, math.atan2",Delete import statement
HIGH,Unused Import,src/services/offline_queue_service.py,2,json imported but unused,Remove json import,Delete import statement
HIGH,Unused Import,src/services/offline_queue_service.py,6,Any imported but unused,Remove typing.Any import,Delete import statement
HIGH,Unused Import,web_dashboard/adapters/huggingface.py,11,datetime imported but unused,Remove datetime.datetime import,Delete import statement
HIGH,Unused Import,web_dashboard/adapters/roboflow.py,11,datetime imported but unused,Remove datetime.datetime import,Delete import statement
HIGH,Unused Import,web_dashboard/app.py,6,WebSocket imported but unused,Remove WebSocket import,Delete import statement
HIGH,Unused Import,web_dashboard/app.py,7,FileResponse imported but unused,Remove FileResponse import,Delete import statement
HIGH,Unused Import,web_dashboard/app.py,8,StaticFiles imported but unused,Remove StaticFiles import,Delete import statement
HIGH,Unused Import,web_dashboard/app.py,15,Path imported but unused,Remove Path import,Delete import statement
HIGH,Unused Import,web_dashboard/worker.py,11,List and Optional imported but unused,Remove typing.List and typing.Optional imports,Delete import statements
HIGH,Unused Import,web_dashboard/worker.py,13,os imported but unused,Remove os import,Delete import statement
HIGH,Invalid Escape,web_dashboard/app.py,852,Invalid escape sequences in regex pattern,Missing raw string prefix (r"..."),Add r prefix to regex pattern
HIGH,Invalid Escape,web_dashboard/app.py,894,Invalid escape sequences in regex pattern,Missing raw string prefix (r"..."),Add r prefix to regex pattern
HIGH,Invalid Escape,web_dashboard/app.py,895,Invalid escape sequences in regex pattern,Missing raw string prefix (r"..."),Add r prefix to regex pattern
HIGH,Wrong Import Order,web_dashboard/app.py,10-15,Standard library imports after third-party,Imports out of order (should be stdlib first),Reorder imports
HIGH,Wrong Import Order,web_dashboard/worker.py,9-13,Standard library imports after third-party,Imports out of order (should be stdlib first),Reorder imports
HIGH,Wrong Import Order,web_dashboard/adapters/roboflow.py,8-11,Standard library imports after third-party,Imports out of order (should be stdlib first),Reorder imports
HIGH,Wrong Import Order,web_dashboard/adapters/huggingface.py,8-11,Standard library imports after third-party,Imports out of order (should be stdlib first),Reorder imports
HIGH,Broad Exception,web_dashboard/app.py,989,Too broad exception handler,"except Exception catches everything, masks specific errors",Catch specific exception type (e.g. requests.RequestException)
HIGH,Broad Exception,web_dashboard/worker.py,185,Too broad exception handler,"except Exception catches everything, masks specific errors",Catch specific exception type
HIGH,Broad Exception,web_dashboard/worker.py,202,Too broad exception handler,"except Exception catches everything, masks specific errors",Catch specific exception type
HIGH,Broad Exception,web_dashboard/adapters/roboflow.py,94,Too broad exception handler,"except Exception catches everything, masks specific errors",Catch specific exception type
HIGH,Broad Exception,web_dashboard/adapters/huggingface.py,115,Too broad exception handler,"except Exception catches everything, masks specific errors",Catch specific exception type
HIGH,Missing from clause,web_dashboard/app.py,1011,Re-raising exception without context,Should use 'raise ... from e' for chaining,Change raise to 'raise HTTPException(...) from e'
HIGH,Missing from clause,web_dashboard/app.py,1024,Re-raising exception without context,Should use 'raise ... from e' for chaining,Change raise to 'raise HTTPException(...) from e'
MEDIUM,Line Length,src/models/schemas.py,56,Line exceeds 120 characters,Line is 131 characters (11 over),Break line into multiple lines
MEDIUM,Line Length,web_dashboard/adapters/huggingface.py,219,Line exceeds 120 characters,Line is 205 characters (85 over),Break line into multiple lines
MEDIUM,Line Length,web_dashboard/adapters/roboflow.py,181,Line exceeds 120 characters,Line is 205 characters (85 over),Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,38,Line exceeds 120 characters,Line is 201 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,104,Line exceeds 120 characters,Line is 122 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,486,Line exceeds 120 characters,Line is 152 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,522,Line exceeds 120 characters,Line is 128 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,526,Line exceeds 120 characters,Line is 129 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,712,Line exceeds 120 characters,Line is 185 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,713,Line exceeds 120 characters,Line is 139 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,765,Line exceeds 120 characters,Line is 128 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,852,Line exceeds 120 characters,Line is 154 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/app.py,873,Line exceeds 120 characters,Line is 138 characters,Break line into multiple lines
MEDIUM,Line Length,web_dashboard/worker.py,29,Line exceeds 120 characters,Line is 201 characters,Break line into multiple lines
MEDIUM,Missing Type Hints,src/database.py,30,Missing return type annotation,Function _initialize_engine lacks return type,Add return type (context manager)
MEDIUM,Missing Type Hints,src/database.py,68,Missing return type annotation,Function create_all lacks return type,Add return type
MEDIUM,Missing Type Hints,src/database.py,84,Missing return type annotation,Function session_scope lacks return type,Add return type (generator)
MEDIUM,Missing Type Hints,src/database.py,130,Missing return type annotation,Function close lacks return type,Add return type
MEDIUM,Missing Type Hints,src/database.py,167,Missing return type annotation,Function init_db lacks return type,Add return type
MEDIUM,Missing Type Hints,src/models/schemas.py,93,Missing return/param types,Validator confidence_normalized lacks types,Add type annotations
MEDIUM,Missing Type Hints,src/models/schemas.py,101,Missing return/param types,Validator validate_image_base64 lacks types,Add type annotations
MEDIUM,Missing Type Hints,web_dashboard/worker.py,94,Missing return type annotation,Function _default_callback lacks return type,Add return type
MEDIUM,Missing Type Hints,web_dashboard/worker.py,207,Missing return type annotation,Function stop lacks return type,Add return type
MEDIUM,Code Duplication,web_dashboard/adapters/huggingface.py,109-146,Duplicate error handling block,Nearly identical to roboflow.py lines 88-125,Extract to shared utility function
MEDIUM,Code Duplication,web_dashboard/adapters/roboflow.py,88-125,Duplicate error handling block,Nearly identical to huggingface.py lines 109-146,Extract to shared utility function
MEDIUM,Code Duplication,web_dashboard/app.py,964-975,Duplicate ADAPTER configuration,Nearly identical to worker.py lines 149-160,Extract to shared constants module
MEDIUM,Code Duplication,web_dashboard/worker.py,149-160,Duplicate ADAPTER configuration,Nearly identical to app.py lines 964-975,Extract to shared constants module
MEDIUM,Code Duplication,src/middleware.py,14-21,Duplicate CORS setup,Identical to middleware/__init__.py,Consolidate to single file
MEDIUM,Code Duplication,src/middleware/__init__.py,14-21,Duplicate CORS setup,Identical to middleware.py,Consolidate to single file
MEDIUM,Too Few Methods,web_dashboard/adapters/roboflow.py,138,Class has only 1 public method,DataModel should have 2+ public methods,Review class design or add method
MEDIUM,Too Few Methods,web_dashboard/adapters/huggingface.py,170,Class has only 1 public method,DataModel should have 2+ public methods,Review class design or add method
MEDIUM,Reimport,web_dashboard/adapters/roboflow.py,177,base64 imported at function level,Already imported at module level (line 8),Use module-level import only
MEDIUM,Reimport,web_dashboard/adapters/huggingface.py,215,base64 imported at function level,Already imported at module level (line 8),Use module-level import only
MEDIUM,Dict Iteration,web_dashboard/app.py,1038,Non-Pythonic dict iteration,Using dict.keys() instead of direct iteration,Replace 'for k in dict.keys()' with 'for k in dict'
MEDIUM,Dict Iteration,web_dashboard/worker.py,287,Non-Pythonic dict iteration,Using dict.keys() instead of direct iteration,Replace 'for k in dict.keys()' with 'for k in dict'
MEDIUM,Dict Iteration,web_dashboard/worker.py,300,Non-Pythonic dict iteration,Using dict.keys() instead of direct iteration,Replace 'for k in dict.keys()' with 'for k in dict'
MEDIUM,Unnecessary Else,web_dashboard/adapters/huggingface.py,91,Unnecessary else after return,else block after return is redundant,Remove else and de-indent code
MEDIUM,Unused Arguments,web_dashboard/adapters/roboflow.py,101,Unused function parameter,image_width parameter not used in function,Remove parameter or add implementation
MEDIUM,Unused Arguments,web_dashboard/adapters/roboflow.py,101,Unused function parameter,image_height parameter not used in function,Remove parameter or add implementation
